sire,section,line,country,f_sire,f_dam,f_damsire,baba_pos,dirt_pos,distance_pos,catchphrase,aim,comment
アグネスタキオン,海外の種牡馬,サンデーサイレンス系,千歳産,サンデーサイレンスUSA,アグネスフローラ,ロイヤルスキーUSA,,,,,25年はドンインザムードがレパードS、ワイドラトゥールが愛知杯を勝利。芝ダートは拮抗。距離は芝がワイドラトゥール得意の1400m、2000m。ただし2000mは2着が1着の3倍と勝ち切れない。ダートは1600、1700m。配合相手は芝はモーリス、エピファネイア、ダートはホッコータルマエ。騎手は横山武、三浦皇成。厩舎は今野、萩原。,
アロゲート,,ミスタープロスペクター系,米国産,Unbridled's Song,Bubbler,Distorted Humor,,,,,デビュー2戦目の初勝利から破竹の7連勝でBCクラシック、ペガサスWC、ドバイワールドCに勝利。1年足らずで米国賞金王に。産駒は勝つときは派手な人気先行タイプが多く、馬券は狙いづらい。芝もこなすが、ダートマイルから1800mが基本。25年日本ではミスティックロアが久々復帰も故障で引退。アッシュバニバルは3連勝でOP入りもそこが壁。産駒重賞勝ちも遠い。,
アースライト,,ノーザンダンサー系,愛国産,Shamardal,Winters Moon,New Approach,,,,,2歳6月に仏国でデビューし、仏国のモルニ賞、2歳コースレコード決着となった英国ミドルパークS含め2歳時は5戦5勝。3歳シーズンは7月の準重賞から始動しデビューからの連勝を6としたが、古馬を相手にしたモーリスドゲスト賞で初の敗戦を喫す。パンデミックの影響などもあって不運な現役生活だったが、仕上がりの早いマイラー血統。日本に向きそうな血統構成。,
アーミーミュール,,エーピーインディ系,米国産,Friesan Fire,Crafty Toast,Crafty Prospector,,,,,2歳トレーニングセールの高額取引馬。3歳4月のデビュー戦、スタートは今一つも、持ち前のスピードで8馬身差の圧勝。長期休養後2戦目4歳1月のレースも圧勝。重賞初挑戦のカーターHでは好位追走から直線入口で先頭、後続を突き放した。爆発的なスピードの持ち主だが、揉まれたときには一抹の不安が残る父系。日本ではジェネラーレがダートスプリント3勝クラスで奮闘。,
イフラージ,,ミスタープロスペクター系,英国産,Zafonic,Pastorale,Nureyev,,,,,G23勝、シュライC2着とマイラーとしてはBの上程度だったが、産駒デビューの2010年に37頭の2歳戦勝ち馬を出し、欧州繋養の新種牡馬最多記録を更新。仕上がり早の芝のスプリント〜マイラー血統。2026年に25歳と長老に。中央現役は「チームゴドルフィン」関連3頭。アンバドゥが休みを挟みつつ4戦3勝。芝マイルOPまで行けそうな器。芝寄りでスプリントからマイルあたりが守備範囲。,
ウォーフロント,,ダンジグ系,米国,Danzig,Starry Dreamer,Rubiano,2,3,3,,,順調に使い込めず、初勝利は3歳8月。G1タイトルを持たぬまま引退となったが、産駒の活躍で種牡馬としての地位を確立。ダート短距離が主戦場も、距離に融通性のあるダンジグ系。配合によっては中距離もこなし、芝コースにも対応する。ワールドスコライのダート型とプロトポロスのような芝の万能型がいる。距離は1200〜1400m。日本にもこの系統が次々と導入されて成功。
ウートンバセット,,ミスタープロスペクター系,英国,Iffraaj,Balladonia,Primo Dominie,2,2,3,,,2歳時英仏で5戦5勝の成績で仏2歳王者も、3歳時不振で仏国でも種牡馬に。年度種付料はわずか6000ユーロで種付頭数に恵まれず。だが初年度産駒アルマンソルが仏ダービーに勝ち一躍人気に。その後クールモアへ移籍。毎年世界のG1戦線活躍馬を出すか、シャトル先の豪州で急性肺炎のため「絶頂期」での急逝。早期から3歳まで芝マイル〜中長距離に対応。日本では8頭デビュー1勝と苦戦。
エッセンシャルクオリティ,,エーピーインディ系,米国産,Tapit,Delightful Quality,Elusive Quality,,,,,近税にコントレイルがいる米国2歳、3歳牡馬チャンピオン。BCジュヴェナイル、ベルモントS、トラヴァーズSなど王道路線を勝ち進み、負けたのは大外枠に泣かされたケンタッキーダービー3着と引退レースBCクラシック3着のみ。産駒にも豊富なスタミナを伝えてくれるはず。26年3歳2頭中ロードヴェリタスがデビューもややスピード負けの感。使いつつ良くなるタイプか。,
エンパイアメーカー,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),ミスタープロスペクター系,米国産,Unbridled,Toussaud,El Gran Senor,,,,,中山競馬場は複勝率35%,25年はトロヴァートレがダービー卿CTを勝利。勝率が上昇。ダートは安定する。距離は芝1200、1600m。ダート1800mも芝ダとも主要距離で好結果。配合相手は芝がキズナ、母にもキズナ、ダはトロヴァートレのレイデオロ、サートゥルナーリア。ダートはクリソベリル、マジェスティックウォリアー。騎手は松山、岩田望。
オーセンティック,,ストームキャット系,米国産,Into Mischief,Flawless,Mr. Greeley,,,,,9月にコロナ無観客ケンタッキーダービーに勝ち、同年BCクラシックは逃げ切り。史上4頭目の同一年両レース制覇。プリークネスSでは牝馬のスイススカイダイバーと一騎打ちに持ち込みながらクビ差敗戦。スピード豊かで仕上がり早。距離の融通性も高そう。産駒2世代目から2歳G1勝ち馬を出す。26年もシヴァージの半弟ウェストウッドがG2に勝つなど好調ぶりは持続。,
